0,1,2,3,4,5,6,7
1.0,0.9492,0.875,0.7695,0.7203,0.707,0.6841,0.6494
1.0,0.875,0.7578,0.625,0.4922,0.375,0.3047,0.2969
1.0,0.8516,0.6641,0.5156,0.375,0.2656,0.1953,0.1562
1.0,0.9609,0.875,0.8281,0.7891,0.7422,0.6484,0.5078
1.0,0.9609,0.8828,0.8281,0.7734,0.7422,0.6445,0.5
1.0,0.9609,0.8984,0.8594,0.8125,0.7656,0.7305,0.6797
1.0,0.8828,0.875,0.7969,0.6484,0.4922,0.3359,0.1562
1.0,2.4667,2.2867,2.1,1.8933,1.8133,1.72,1.6467
1.0,0.9733,0.9667,0.9467,0.9533,0.9,0.8667,0.84
1.0,0.98,0.9733,0.9467,0.9333,0.8933,0.8667,0.8467
1.0,0.96,0.9533,0.96,0.94,0.9067,0.8733,0.84
1.0,1.0133,1.0333,0.9733,0.94,0.92,0.8933,0.8733
1.0,0.8077,0.7473,0.6923,0.6484,0.6264,0.5879,0.5604
1.0,0.9945,0.9212,0.9272,0.8835,0.869,0.8352,0.8111
1.0,0.9835,0.967,0.9396,0.8626,0.7692,0.7033,0.6648
1.0,0.989,0.967,0.9451,0.8736,0.7692,0.7088,0.6648
1.0,0.9835,0.9505,0.9396,0.9011,0.8132,0.7582,0.7088
1.0,0.9505,0.9176,0.8791,0.8132,0.7747,0.7363,0.6923
1.0,0.88,0.8196,0.7118,0.6741,0.7009,0.6206,0.5918
1.0,0.9688,0.9554,0.9392,0.8999,0.9019,0.8662,0.8387
1.0,0.9396,0.8492,0.8565,0.8338,0.8026,0.7556,0.7438
1.0,0.9376,0.7907,0.7484,0.7031,0.6413,0.6077,0.5686
1.0,0.88,0.7856,0.7475,0.681,0.6368,0.5878,0.5148
1.0,0.9047,0.82,0.7856,0.7349,0.6822,0.6433,0.6056
1.0,0.8901,0.8306,0.8002,0.7438,0.7037,0.6741,0.6218
1.0,0.8768,0.8637,0.7017,0.6633,0.6882,0.6135,0.562
1.0,0.9793,0.9093,0.9257,0.9021,0.8895,0.8468,0.8338
1.0,0.9207,0.8692,0.8776,0.8338,0.8152,0.762,0.7443
1.0,0.9734,0.8468,0.7857,0.738,0.6743,0.6245,0.5679
1.0,0.915,0.8284,0.7783,0.7631,0.6749,0.6195,0.5725
1.0,0.9287,0.8359,0.7696,0.7447,0.6717,0.6291,0.57
1.0,0.8768,0.8333,0.7743,0.7152,0.684,0.6274,0.6612
1.0,0.9589,0.9132,0.8584,0.8311,0.7945,0.7032,0.6758
1.0,0.9863,0.9726,1.0,0.9543,0.9589,0.9132,0.8904
1.0,0.9635,0.895,0.8584,0.8311,0.7808,0.726,0.6484
1.0,0.9589,0.9178,0.8858,0.8402,0.7763,0.7352,0.653
1.0,0.9635,0.9102,0.8756,0.8374,0.79,0.7293,0.7009
1.0,0.9635,0.9269,0.8539,0.8311,0.7945,0.7489,0.7169
1.0,1.4222,1.4444,1.4444,1.4222,1.4667,1.4889,1.4889
