"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect"
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9225,0.0000,0.0000,0.0000,0.0000,0.0000
0.8553,0.0000,0.0000,0.0000,0.0000,0.0000
0.7500,0.0000,0.0000,0.0000,0.0000,0.0000
0.7085,0.0000,0.0000,0.0000,0.0000,0.0000
0.6951,0.0000,0.0000,0.0000,0.0000,0.0000
0.6822,0.0000,0.0000,0.0000,0.0000,0.0000
0.6347,0.0000,0.0000,0.0000,0.0000,0.0000
0.9845,3.0781,0.0000,0.0000,0.0000,0.0000
0.9225,2.7617,0.0000,0.0000,0.0000,0.0000
0.8992,2.7552,0.0000,0.0000,0.0000,0.0000
0.8760,2.7363,0.0000,0.0000,0.0000,0.0000
0.8217,2.6516,0.0000,0.0000,0.0000,0.0000
0.7829,2.5560,0.0000,0.0000,0.0000,0.0000
0.7364,2.4055,0.0000,0.0000,0.0000,0.0000
0.9225,0.0000,0.7901,0.0000,0.0000,0.0000
0.8527,0.0000,0.7873,0.0000,0.0000,0.0000
0.7209,0.0000,0.7790,0.0000,0.0000,0.0000
0.6512,0.0000,0.7514,0.0000,0.0000,0.0000
0.5581,0.0000,0.7293,0.0000,0.0000,0.0000
0.4574,0.0000,0.6565,0.0000,0.0000,0.0000
0.4419,0.0000,0.6717,0.0000,0.0000,0.0000
0.9690,0.0000,0.0000,0.9009,0.0000,0.0000
0.8682,0.0000,0.0000,0.7868,0.0000,0.0000
0.8295,0.0000,0.0000,0.7469,0.0000,0.0000
0.7829,0.0000,0.0000,0.6881,0.0000,0.0000
0.7364,0.0000,0.0000,0.6545,0.0000,0.0000
0.6357,0.0000,0.0000,0.5987,0.0000,0.0000
0.5039,0.0000,0.0000,0.5712,0.0000,0.0000
0.9690,0.0000,0.0000,0.0000,0.8431,0.0000
0.8837,0.0000,0.0000,0.0000,0.7674,0.0000
0.8295,0.0000,0.0000,0.0000,0.7553,0.0000
0.7674,0.0000,0.0000,0.0000,0.6502,0.0000
0.7442,0.0000,0.0000,0.0000,0.6504,0.0000
0.6434,0.0000,0.0000,0.0000,0.6112,0.0000
0.5039,0.0000,0.0000,0.0000,0.5463,0.0000
0.9535,0.0000,0.0000,0.0000,0.0000,0.9452
0.8992,0.0000,0.0000,0.0000,0.0000,0.9110
0.8450,0.0000,0.0000,0.0000,0.0000,0.8463
0.7907,0.0000,0.0000,0.0000,0.0000,0.8242
0.7597,0.0000,0.0000,0.0000,0.0000,0.7808
0.7054,0.0000,0.0000,0.0000,0.0000,0.7177
0.6744,0.0000,0.0000,0.0000,0.0000,0.6778
0.9845,3.0781,0.0000,0.0000,0.0000,0.0000
0.8953,2.7266,0.0000,0.0000,0.0000,0.0000
0.8295,2.5234,0.0000,0.0000,0.0000,0.0000
