"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","Total Throughput"
1,0,0,0,0,0,1.0000
2,0,0,0,0,0,1.8450
3,0,0,0,0,0,2.5659
4,0,0,0,0,0,3.0000
5,0,0,0,0,0,3.5426
6,0,0,0,0,0,4.1706
7,0,0,0,0,0,4.7752
8,0,0,0,0,0,5.0775
1,1,0,0,0,0,4.0626
1,2,0,0,0,0,6.4459
1,3,0,0,0,0,9.1649
1,4,0,0,0,0,11.8213
1,5,0,0,0,0,14.0795
1,6,0,0,0,0,16.1189
1,7,0,0,0,0,17.5747
1,0,1,0,0,0,1.7125
1,0,2,0,0,0,2.4273
1,0,3,0,0,0,3.0579
1,0,4,0,0,0,3.6567
1,0,5,0,0,0,4.2045
1,0,6,0,0,0,4.3966
1,0,7,0,0,0,5.1435
1,0,0,1,0,0,1.8699
1,0,0,2,0,0,2.4419
1,0,0,3,0,0,3.0703
1,0,0,4,0,0,3.5353
1,0,0,5,0,0,4.0091
1,0,0,6,0,0,4.2276
1,0,0,7,0,0,4.5023
1,0,0,0,1,0,1.8121
1,0,0,0,2,0,2.4185
1,0,0,0,3,0,3.0953
1,0,0,0,4,0,3.3683
1,0,0,0,5,0,3.9964
1,0,0,0,6,0,4.3104
1,0,0,0,7,0,4.3277
1,0,0,0,0,1,1.8987
1,0,0,0,0,2,2.7211
1,0,0,0,0,3,3.3838
1,0,0,0,0,4,4.0875
1,0,0,0,0,5,4.6638
1,0,0,0,0,6,5.0114
1,0,0,0,0,7,5.4187
1,1,0,0,0,0,4.0626
2,1,0,0,0,0,4.5173
3,1,0,0,0,0,5.0118
4,1,0,0,0,0,5.3516
5,1,0,0,0,0,5.6523
6,1,0,0,0,0,6.3187
7,1,0,0,0,0,6.5734
0,1,0,0,0,0,1.0000
0,2,0,0,0,0,1.9688
0,3,0,0,0,0,3.0023
0,4,0,0,0,0,4.1641
0,5,0,0,0,0,5.0312
0,6,0,0,0,0,5.9453
0,7,0,0,0,0,6.6406
0,8,0,0,0,0,7.8414
0,1,1,0,0,0,1.9977
0,1,2,0,0,0,2.9825
0,1,3,0,0,0,3.8817
0,1,4,0,0,0,4.9369
0,1,5,0,0,0,5.7777
0,1,6,0,0,0,6.5553
0,1,7,0,0,0,7.2778
0,1,0,1,0,0,2.0362
0,1,0,2,0,0,2.6865
0,1,0,3,0,0,3.2315
0,1,0,4,0,0,3.7787
0,1,0,5,0,0,4.3899
0,1,0,6,0,0,4.6834
0,1,0,7,0,0,5.0860
0,1,0,0,1,0,1.9319
0,1,0,0,2,0,2.6505
0,1,0,0,3,0,3.3909
0,1,0,0,4,0,3.7369
0,1,0,0,5,0,4.2727
0,1,0,0,6,0,4.5970
0,1,0,0,7,0,4.8638
0,1,0,0,0,1,2.0378
0,1,0,0,0,2,2.9465
0,1,0,0,0,3,3.7020
0,1,0,0,0,4,4.5669
0,1,0,0,0,5,5.0849
0,1,0,0,0,6,5.6121
0,1,0,0,0,7,5.7968
1,0,1,0,0,0,1.7125
2,0,1,0,0,0,2.4812
3,0,1,0,0,0,3.0771
4,0,1,0,0,0,3.5379
5,0,1,0,0,0,4.0851
6,0,1,0,0,0,4.7473
7,0,1,0,0,0,5.1671
0,1,1,0,0,0,1.9977
0,2,1,0,0,0,2.9085
0,3,1,0,0,0,3.9811
0,4,1,0,0,0,4.9421
0,5,1,0,0,0,5.9154
0,6,1,0,0,0,6.6667
0,7,1,0,0,0,7.9991
0,0,1,0,0,0,1.0000
0,0,2,0,0,0,1.9890
0,0,3,0,0,0,2.9889
0,0,4,0,0,0,3.8508
0,0,5,0,0,0,4.8950
0,0,6,0,0,0,5.7624
0,0,7,0,0,0,6.5083
0,0,8,0,0,0,7.2486
0,0,1,1,0,0,1.9105
0,0,1,2,0,0,2.6741
0,0,1,3,0,0,3.1786
0,0,1,4,0,0,3.5659
0,0,1,5,0,0,4.2311
