"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","ISR"
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8760,1.2060,0.0000,0.0000,0.0000,0.0000,0.0000
0.7442,1.1628,0.0000,0.0000,0.0000,0.0000,0.0000
0.6589,1.2004,0.0000,0.0000,0.0000,0.0000,0.0000
0.4961,1.0158,0.0000,0.0000,0.0000,0.0000,0.0000
0.3721,0.9654,0.0000,0.0000,0.0000,0.0000,0.0000
0.3101,0.9097,0.0000,0.0000,0.0000,0.0000,0.0000
0.2868,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000
0.8527,0.0000,0.8054,0.0000,0.0000,0.0000,0.0000
0.6744,0.0000,0.7730,0.0000,0.0000,0.0000,0.0000
0.5116,0.0000,0.7315,0.0000,0.0000,0.0000,0.0000
0.3798,0.0000,0.6959,0.0000,0.0000,0.0000,0.0000
0.2636,0.0000,0.6605,0.0000,0.0000,0.0000,0.0000
0.1860,0.0000,0.6000,0.0000,0.0000,0.0000,0.0000
0.1473,0.0000,0.5629,0.0000,0.0000,0.0000,0.0000
0.9612,0.0000,0.0000,0.8509,0.0000,0.0000,0.0000
0.8915,0.0000,0.0000,0.8043,0.0000,0.0000,0.0000
0.8527,0.0000,0.0000,0.7777,0.0000,0.0000,0.0000
0.7752,0.0000,0.0000,0.6805,0.0000,0.0000,0.0000
0.7209,0.0000,0.0000,0.6259,0.0000,0.0000,0.0000
0.6434,0.0000,0.0000,0.6183,0.0000,0.0000,0.0000
0.4806,0.0000,0.0000,0.5514,0.0000,0.0000,0.0000
0.9690,0.0000,0.0000,0.0000,0.8628,0.0000,0.0000
0.8837,0.0000,0.0000,0.0000,0.7867,0.0000,0.0000
0.8527,0.0000,0.0000,0.0000,0.7879,0.0000,0.0000
0.7752,0.0000,0.0000,0.0000,0.6749,0.0000,0.0000
0.7287,0.0000,0.0000,0.0000,0.6237,0.0000,0.0000
0.6434,0.0000,0.0000,0.0000,0.6016,0.0000,0.0000
0.4961,0.0000,0.0000,0.0000,0.5214,0.0000,0.0000
0.9535,0.0000,0.0000,0.0000,0.0000,0.9485,0.0000
0.9147,0.0000,0.0000,0.0000,0.0000,0.8670,0.0000
0.8527,0.0000,0.0000,0.0000,0.0000,0.8340,0.0000
0.7984,0.0000,0.0000,0.0000,0.0000,0.7918,0.0000
0.7674,0.0000,0.0000,0.0000,0.0000,0.7348,0.0000
0.7287,0.0000,0.0000,0.0000,0.0000,0.6881,0.0000
0.6667,0.0000,0.0000,0.0000,0.0000,0.6211,0.0000
0.9147,0.0000,0.0000,0.0000,0.0000,0.0000,1.4074
0.8837,0.0000,0.0000,0.0000,0.0000,0.0000,1.3704
0.7829,0.0000,0.0000,0.0000,0.0000,0.0000,1.3704
0.6512,0.0000,0.0000,0.0000,0.0000,0.0000,1.5185
0.4806,0.0000,0.0000,0.0000,0.0000,0.0000,1.5111
0.3101,0.0000,0.0000,0.0000,0.0000,0.0000,1.4136
0.1240,0.0000,0.0000,0.0000,0.0000,0.0000,1.3333
0.8760,1.2060,0.0000,0.0000,0.0000,0.0000,0.0000
0.8450,1.1462,0.0000,0.0000,0.0000,0.0000,0.0000
0.7674,1.0199,0.0000,0.0000,0.0000,0.0000,0.0000
0.7132,0.9402,0.0000,0.0000,0.0000,0.0000,0.0000
0.7070,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6499,0.8173,0.0000,0.0000,0.0000,0.0000,0.0000
0.6257,0.8239,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9551,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9823,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9419,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0133,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0360,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9312,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8630,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0565,0.9946,0.0000,0.0000,0.0000,0.0000
0.0000,1.0033,0.9676,0.0000,0.0000,0.0000,0.0000
0.0000,0.9402,0.9189,0.0000,0.0000,0.0000,0.0000
0.0000,1.0133,0.9014,0.0000,0.0000,0.0000,0.0000
0.0000,0.9369,0.8486,0.0000,0.0000,0.0000,0.0000
0.0000,0.8704,0.8496,0.0000,0.0000,0.0000,0.0000
0.0000,0.8272,0.7869,0.0000,0.0000,0.0000,0.0000
0.0000,1.0355,0.0000,1.0279,0.0000,0.0000,0.0000
0.0000,0.9635,0.0000,0.8184,0.0000,0.0000,0.0000
0.0000,0.9103,0.0000,0.7420,0.0000,0.0000,0.0000
0.0000,0.9269,0.0000,0.7705,0.0000,0.0000,0.0000
0.0000,0.9236,0.0000,0.7225,0.0000,0.0000,0.0000
0.0000,0.7708,0.0000,0.6112,0.0000,0.0000,0.0000
0.0000,0.6877,0.0000,0.5470,0.0000,0.0000,0.0000
0.0000,1.0100,0.0000,0.0000,0.9759,0.0000,0.0000
0.0000,0.8837,0.0000,0.0000,0.8034,0.0000,0.0000
0.0000,0.8870,0.0000,0.0000,0.7492,0.0000,0.0000
0.0000,0.9269,0.0000,0.0000,0.8021,0.0000,0.0000
0.0000,0.9402,0.0000,0.0000,0.7502,0.0000,0.0000
0.0000,0.7575,0.0000,0.0000,0.6134,0.0000,0.0000
0.0000,0.7110,0.0000,0.0000,0.5589,0.0000,0.0000
0.0000,0.9967,0.0000,0.0000,0.0000,0.9742,0.0000
0.0000,0.8914,0.0000,0.0000,0.0000,0.8927,0.0000
0.0000,0.9535,0.0000,0.0000,0.0000,0.8555,0.0000
0.0000,0.9635,0.0000,0.0000,0.0000,0.8358,0.0000
0.0000,0.8937,0.0000,0.0000,0.0000,0.7760,0.0000
0.0000,0.7508,0.0000,0.0000,0.0000,0.6996,0.0000
0.0000,0.6811,0.0000,0.0000,0.0000,0.6364,0.0000
0.0000,1.0598,0.0000,0.0000,0.0000,0.0000,1.0741
0.0000,0.9103,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.8837,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.8704,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.7442,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.7674,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.6844,0.0000,0.0000,0.0000,0.0000,0.9630
0.8527,0.0000,0.8054,0.0000,0.0000,0.0000,0.0000
0.8411,0.0000,0.7676,0.0000,0.0000,0.0000,0.0000
0.7597,0.0000,0.6865,0.0000,0.0000,0.0000,0.0000
0.7093,0.0000,0.6486,0.0000,0.0000,0.0000,0.0000
0.7023,0.0000,0.6324,0.0000,0.0000,0.0000,0.0000
0.6344,0.0000,0.5514,0.0000,0.0000,0.0000,0.0000
0.6246,0.0000,0.5676,0.0000,0.0000,0.0000,0.0000
0.0000,1.0565,0.9946,0.0000,0.0000,0.0000,0.0000
0.0000,0.9967,0.9568,0.0000,0.0000,0.0000,0.0000
0.0000,0.9612,0.9459,0.0000,0.0000,0.0000,0.0000
0.0000,0.9103,0.9459,0.0000,0.0000,0.0000,0.0000
0.0000,1.0259,0.9351,0.0000,0.0000,0.0000,0.0000
0.0000,0.9221,0.9243,0.0000,0.0000,0.0000,0.0000
0.0000,0.8624,0.8595,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9919,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8973,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8892,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8876,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8479,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.7601,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9838,0.9586,0.0000,0.0000,0.0000
0.0000,0.0000,0.9622,0.8149,0.0000,0.0000,0.0000
0.0000,0.0000,0.9459,0.7940,0.0000,0.0000,0.0000
0.0000,0.0000,0.8865,0.7781,0.0000,0.0000,0.0000
0.0000,0.0000,0.7351,0.6094,0.0000,0.0000,0.0000
0.0000,0.0000,0.7459,0.6807,0.0000,0.0000,0.0000
0.0000,0.0000,0.6378,0.5300,0.0000,0.0000,0.0000
0.0000,0.0000,0.9838,0.0000,0.9147,0.0000,0.0000
0.0000,0.0000,0.9622,0.0000,0.8080,0.0000,0.0000
0.0000,0.0000,0.9351,0.0000,0.7814,0.0000,0.0000
0.0000,0.0000,0.8757,0.0000,0.7739,0.0000,0.0000
0.0000,0.0000,0.7351,0.0000,0.6360,0.0000,0.0000
0.0000,0.0000,0.7459,0.0000,0.6874,0.0000,0.0000
0.0000,0.0000,0.6378,0.0000,0.5337,0.0000,0.0000
0.0000,0.0000,0.9730,0.0000,0.0000,0.9270,0.0000
0.0000,0.0000,0.9459,0.0000,0.0000,0.8777,0.0000
0.0000,0.0000,0.9189,0.0000,0.0000,0.8455,0.0000
0.0000,0.0000,0.8649,0.0000,0.0000,0.7897,0.0000
0.0000,0.0000,0.7730,0.0000,0.0000,0.7176,0.0000
0.0000,0.0000,0.7784,0.0000,0.0000,0.7210,0.0000
0.0000,0.0000,0.6703,0.0000,0.0000,0.6579,0.0000
0.0000,0.0000,0.9351,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.8919,0.0000,0.0000,0.0000,0.9815
0.0000,0.0000,0.8541,0.0000,0.0000,0.0000,0.9877
0.0000,0.0000,0.8054,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.7243,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.7838,0.0000,0.0000,0.0000,1.0741
0.0000,0.0000,0.6432,0.0000,0.0000,0.0000,0.9630
0.9612,0.0000,0.0000,0.8509,0.0000,0.0000,0.0000
0.9031,0.0000,0.0000,0.8564,0.0000,0.0000,0.0000
0.7933,0.0000,0.0000,0.6825,0.0000,0.0000,0.0000
0.7287,0.0000,0.0000,0.6531,0.0000,0.0000,0.0000
0.7256,0.0000,0.0000,0.6798,0.0000,0.0000,0.0000
