"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","ISR","Total Throughput"
1,0,0,0,0,0,0,1.0000
2,0,0,0,0,0,0,1.9070
3,0,0,0,0,0,0,2.6124
4,0,0,0,0,0,0,3.0930
5,0,0,0,0,0,0,3.6357
6,0,0,0,0,0,0,4.3101
7,0,0,0,0,0,0,4.6202
8,0,0,0,0,0,0,5.2171
1,1,0,0,0,0,0,2.0819
1,2,0,0,0,0,0,3.0698
1,3,0,0,0,0,0,4.2602
1,4,0,0,0,0,0,4.5592
1,5,0,0,0,0,0,5.1993
1,6,0,0,0,0,0,5.7685
1,7,0,0,0,0,0,6.2868
1,0,1,0,0,0,0,1.6581
1,0,2,0,0,0,0,2.2204
1,0,3,0,0,0,0,2.7062
1,0,4,0,0,0,0,3.1636
1,0,5,0,0,0,0,3.5663
1,0,6,0,0,0,0,3.7860
1,0,7,0,0,0,0,4.0878
1,0,0,1,0,0,0,1.8122
1,0,0,2,0,0,0,2.5001
1,0,0,3,0,0,0,3.1857
1,0,0,4,0,0,0,3.4972
1,0,0,5,0,0,0,3.8502
1,0,0,6,0,0,0,4.3534
1,0,0,7,0,0,0,4.3405
1,0,0,0,1,0,0,1.8318
1,0,0,0,2,0,0,2.4572
1,0,0,0,3,0,0,3.2165
1,0,0,0,4,0,0,3.4750
1,0,0,0,5,0,0,3.8474
1,0,0,0,6,0,0,4.2531
1,0,0,0,7,0,0,4.1460
1,0,0,0,0,1,0,1.9020
1,0,0,0,0,2,0,2.6486
1,0,0,0,0,3,0,3.3549
1,0,0,0,0,4,0,3.9658
1,0,0,0,0,5,0,4.4413
1,0,0,0,0,6,0,4.8574
1,0,0,0,0,7,0,5.0143
1,0,0,0,0,0,1,2.3221
1,0,0,0,0,0,2,3.6245
1,0,0,0,0,0,3,4.8941
1,0,0,0,0,0,4,6.7252
1,0,0,0,0,0,5,8.0362
1,0,0,0,0,0,6,8.7916
1,0,0,0,0,0,7,9.4574
1,1,0,0,0,0,0,2.0819
2,1,0,0,0,0,0,2.8361
3,1,0,0,0,0,0,3.3223
4,1,0,0,0,0,0,3.7929
5,1,0,0,0,0,0,4.5349
6,1,0,0,0,0,0,4.7165
7,1,0,0,0,0,0,5.2037
0,1,0,0,0,0,0,1.0000
0,2,0,0,0,0,0,1.9103
0,3,0,0,0,0,0,2.9468
0,4,0,0,0,0,0,3.7674
0,5,0,0,0,0,0,5.0664
0,6,0,0,0,0,0,6.2159
0,7,0,0,0,0,0,6.5183
0,8,0,0,0,0,0,6.9037
0,1,1,0,0,0,0,2.0511
0,1,2,0,0,0,0,2.9385
0,1,3,0,0,0,0,3.6970
0,1,4,0,0,0,0,4.6187
0,1,5,0,0,0,0,5.1801
0,1,6,0,0,0,0,5.9677
0,1,7,0,0,0,0,6.3353
0,1,0,1,0,0,0,2.0634
0,1,0,2,0,0,0,2.6003
0,1,0,3,0,0,0,3.1364
0,1,0,4,0,0,0,4.0090
0,1,0,5,0,0,0,4.5361
0,1,0,6,0,0,0,4.4378
0,1,0,7,0,0,0,4.5170
0,1,0,0,1,0,0,1.9858
0,1,0,0,2,0,0,2.4906
0,1,0,0,3,0,0,3.1345
0,1,0,0,4,0,0,4.1354
0,1,0,0,5,0,0,4.6911
0,1,0,0,6,0,0,4.4379
0,1,0,0,7,0,0,4.6232
0,1,0,0,0,1,0,1.9709
0,1,0,0,0,2,0,2.6768
0,1,0,0,0,3,0,3.5200
0,1,0,0,0,4,0,4.3068
0,1,0,0,0,5,0,4.7735
0,1,0,0,0,6,0,4.9483
0,1,0,0,0,7,0,5.1360
0,1,0,0,0,0,1,2.1339
0,1,0,0,0,0,2,2.9103
0,1,0,0,0,0,3,3.8837
0,1,0,0,0,0,4,4.8704
0,1,0,0,0,0,5,5.5590
0,1,0,0,0,0,6,6.5452
0,1,0,0,0,0,7,7.4251
1,0,1,0,0,0,0,1.6581
2,0,1,0,0,0,0,2.4497
3,0,1,0,0,0,0,2.9656
4,0,1,0,0,0,0,3.4859
5,0,1,0,0,0,0,4.1441
6,0,1,0,0,0,0,4.3575
7,0,1,0,0,0,0,4.9396
0,1,1,0,0,0,0,2.0511
0,2,1,0,0,0,0,2.9501
0,3,1,0,0,0,0,3.8297
0,4,1,0,0,0,0,4.5871
0,5,1,0,0,0,0,6.0647
0,6,1,0,0,0,0,6.4569
0,7,1,0,0,0,0,6.8960
0,0,1,0,0,0,0,1.0000
0,0,2,0,0,0,0,1.9838
0,0,3,0,0,0,0,2.6919
0,0,4,0,0,0,0,3.5568
0,0,5,0,0,0,0,4.4378
0,0,6,0,0,0,0,4.8000
0,0,7,0,0,0,0,5.9351
0,0,8,0,0,0,0,6.0811
0,0,1,1,0,0,0,1.9424
0,0,1,2,0,0,0,2.5920
0,0,1,3,0,0,0,3.3281
0,0,1,4,0,0,0,3.9988
0,0,1,5,0,0,0,3.7824
0,0,1,6,0,0,0,4.8303
0,0,1,7,0,0,0,4.3479
0,0,1,0,1,0,0,1.8985
0,0,1,0,2,0,0,2.5783
0,0,1,0,3,0,0,3.2792
0,0,1,0,4,0,0,3.9715
0,0,1,0,5,0,0,3.9150
0,0,1,0,6,0,0,4.8703
0,0,1,0,7,0,0,4.3739
0,0,1,0,0,1,0,1.9000
0,0,1,0,0,2,0,2.7013
0,0,1,0,0,3,0,3.4554
0,0,1,0,0,4,0,4.0237
0,0,1,0,0,5,0,4.3610
0,0,1,0,0,6,0,5.1046
0,0,1,0,0,7,0,5.2754
0,0,1,0,0,0,1,1.9351
0,0,1,0,0,0,2,2.8549
0,0,1,0,0,0,3,3.8171
0,0,1,0,0,0,4,4.6573
0,0,1,0,0,0,5,5.5391
0,0,1,0,0,0,6,7.2282
0,0,1,0,0,0,7,7.3840
1,0,0,1,0,0,0,1.8122
2,0,0,1,0,0,0,2.6626
3,0,0,1,0,0,0,3.0624
4,0,0,1,0,0,0,3.5678
5,0,0,1,0,0,0,4.3077
6,0,0,1,0,0,0,4.4556
7,0,0,1,0,0,0,4.7590
0,1,0,1,0,0,0,2.0634
0,2,0,1,0,0,0,2.7442
0,3,0,1,0,0,0,3.6602
0,4,0,1,0,0,0,4.5203
0,5,0,1,0,0,0,5.2614
0,6,0,1,0,0,0,6.2022
0,7,0,1,0,0,0,6.6578
0,0,1,1,0,0,0,1.9424
0,0,2,1,0,0,0,2.7938
0,0,3,1,0,0,0,3.5138
0,0,4,1,0,0,0,4.2774
0,0,5,1,0,0,0,4.6123
0,0,6,1,0,0,0,5.5912
0,0,7,1,0,0,0,5.8169
0,0,0,1,0,0,0,1.0000
0,0,0,2,0,0,0,1.7758
0,0,0,3,0,0,0,2.2826
0,0,0,4,0,0,0,2.9292
0,0,0,5,0,0,0,3.7801
0,0,0,6,0,0,0,3.5900
0,0,0,7,0,0,0,4.6636
0,0,0,8,0,0,0,4.0337
0,0,0,1,1,0,0,1.7187
0,0,0,1,2,0,0,2.3908
0,0,0,1,3,0,0,2.9714
0,0,0,1,4,0,0,3.6995
0,0,0,1,5,0,0,3.6496
0,0,0,1,6,0,0,4.8081
0,0,0,1,7,0,0,4.2691
0,0,0,1,0,1,0,1.8011
0,0,0,1,0,2,0,2.5368
0,0,0,1,0,3,0,3.2029
0,0,0,1,0,4,0,3.8806
0,0,0,1,0,5,0,4.1598
0,0,0,1,0,6,0,4.7970
0,0,0,1,0,7,0,5.0799
0,0,0,1,0,0,1,1.8877
0,0,0,1,0,0,2,2.8277
0,0,0,1,0,0,3,3.7828
0,0,0,1,0,0,4,4.8819
0,0,0,1,0,0,5,5.4834
0,0,0,1,0,0,6,6.6187
0,0,0,1,0,0,7,7.3145
1,0,0,0,1,0,0,1.8318
2,0,0,0,1,0,0,2.5878
3,0,0,0,1,0,0,3.1336
4,0,0,0,1,0,0,3.6488
5,0,0,0,1,0,0,4.2882
6,0,0,0,1,0,0,4.4553
7,0,0,0,1,0,0,4.7445
0,1,0,0,1,0,0,1.9858
0,2,0,0,1,0,0,2.7307
0,3,0,0,1,0,0,3.8081
0,4,0,0,1,0,0,4.3901
0,5,0,0,1,0,0,5.2037
0,6,0,0,1,0,0,6.2206
0,7,0,0,1,0,0,6.5254
0,0,1,0,1,0,0,1.8985
0,0,2,0,1,0,0,2.7681
0,0,3,0,1,0,0,3.5956
0,0,4,0,1,0,0,4.2621
0,0,5,0,1,0,0,4.5996
0,0,6,0,1,0,0,5.6202
0,0,7,0,1,0,0,5.8046
0,0,0,1,1,0,0,1.7187
0,0,0,2,1,0,0,2.3967
0,0,0,3,1,0,0,2.9267
0,0,0,4,1,0,0,3.6162
0,0,0,5,1,0,0,3.6182
0,0,0,6,1,0,0,4.7436
0,0,0,7,1,0,0,4.3912
0,0,0,0,1,0,0,1.0000
0,0,0,0,2,0,0,1.7050
0,0,0,0,3,0,0,2.3714
0,0,0,0,4,0,0,2.8282
0,0,0,0,5,0,0,3.3795
0,0,0,0,6,0,0,3.6660
0,0,0,0,7,0,0,4.1666
0,0,0,0,8,0,0,4.1956
0,0,0,0,1,1,0,1.7893
0,0,0,0,1,2,0,2.6185
0,0,0,0,1,3,0,3.3756
0,0,0,0,1,4,0,3.8320
0,0,0,0,1,5,0,4.2411
0,0,0,0,1,6,0,4.9637
0,0,0,0,1,7,0,5.1481
0,0,0,0,1,0,1,1.8584
0,0,0,0,1,0,2,3.0097
0,0,0,0,1,0,3,4.1260
0,0,0,0,1,0,4,5.1784
0,0,0,0,1,0,5,5.5593
0,0,0,0,1,0,6,6.6596
0,0,0,0,1,0,7,7.2426
1,0,0,0,0,1,0,1.9020
2,0,0,0,0,1,0,2.6550
3,0,0,0,0,1,0,3.3012
4,0,0,0,0,1,0,3.7699
5,0,0,0,0,1,0,4.3247
6,0,0,0,0,1,0,4.7091
7,0,0,0,0,1,0,5.2339
0,1,0,0,0,1,0,1.9709
0,2,0,0,0,1,0,2.8737
0,3,0,0,0,1,0,3.8440
0,4,0,0,0,1,0,4.6049
0,5,0,0,0,1,0,5.2783
0,6,0,0,0,1,0,6.6679
0,7,0,0,0,1,0,6.6043
0,0,1,0,0,1,0,1.9000
0,0,2,0,0,1,0,2.7848
0,0,3,0,0,1,0,3.6432
0,0,4,0,0,1,0,4.3558
0,0,5,0,0,1,0,4.7660
0,0,6,0,0,1,0,5.7571
0,0,7,0,0,1,0,5.9371
0,0,0,1,0,1,0,1.8011
0,0,0,2,0,1,0,2.4541
0,0,0,3,0,1,0,3.0559
0,0,0,4,0,1,0,3.7875
0,0,0,5,0,1,0,3.7975
0,0,0,6,0,1,0,4.7626
0,0,0,7,0,1,0,4.3505
0,0,0,0,1,1,0,1.7893
0,0,0,0,2,1,0,2.3957
0,0,0,0,3,1,0,3.2664
0,0,0,0,4,1,0,3.5073
0,0,0,0,5,1,0,3.7426
0,0,0,0,6,1,0,4.2324
0,0,0,0,7,1,0,4.4447
0,0,0,0,0,1,0,1.0000
0,0,0,0,0,2,0,1.8283
0,0,0,0,0,3,0,2.6652
0,0,0,0,0,4,0,3.4077
0,0,0,0,0,5,0,3.9828
0,0,0,0,0,6,0,4.4077
0,0,0,0,0,7,0,4.9227
0,0,0,0,0,8,0,5.3004
0,0,0,0,0,1,1,1.8857
0,0,0,0,0,1,2,3.0537
0,0,0,0,0,1,3,3.8584
0,0,0,0,0,1,4,5.0962
0,0,0,0,0,1,5,5.5530
0,0,0,0,0,1,6,6.5842
0,0,0,0,0,1,7,7.3631
1,0,0,0,0,0,1,2.3221
2,0,0,0,0,0,1,3.1809
3,0,0,0,0,0,1,4.0362
4,0,0,0,0,0,1,4.5280
5,0,0,0,0,0,1,5.0164
6,0,0,0,0,0,1,5.3222
7,0,0,0,0,0,1,5.7993
0,1,0,0,0,0,1,2.1339
0,2,0,0,0,0,1,2.8799
0,3,0,0,0,0,1,3.9037
0,4,0,0,0,0,1,4.6635
0,5,0,0,0,0,1,5.4978
0,6,0,0,0,0,1,6.5676
0,7,0,0,0,0,1,6.8135
0,0,1,0,0,0,1,1.9351
0,0,2,0,0,0,1,2.8486
0,0,3,0,0,0,1,3.6424
0,0,4,0,0,0,1,4.6733
0,0,5,0,0,0,1,4.7892
0,0,6,0,0,0,1,5.8370
0,0,7,0,0,0,1,6.1614
0,0,0,1,0,0,1,1.8877
0,0,0,2,0,0,1,2.6139
0,0,0,3,0,0,1,3.2964
0,0,0,4,0,0,1,4.0337
0,0,0,5,0,0,1,4.1114
0,0,0,6,0,0,1,5.1041
0,0,0,7,0,0,1,4.9178
0,0,0,0,1,0,1,1.8584
0,0,0,0,2,0,1,2.7827
0,0,0,0,3,0,1,3.7489
0,0,0,0,4,0,1,3.9630
0,0,0,0,5,0,1,4.1211
0,0,0,0,6,0,1,5.0383
0,0,0,0,7,0,1,4.8338
0,0,0,0,0,1,1,1.8857
0,0,0,0,0,2,1,2.8681
0,0,0,0,0,3,1,3.6921
0,0,0,0,0,4,1,4.3316
0,0,0,0,0,5,1,4.6781
0,0,0,0,0,6,1,5.2489
0,0,0,0,0,7,1,5.6223
0,0,0,0,0,0,1,1.0000
0,0,0,0,0,0,2,2.0000
0,0,0,0,0,0,3,3.1111
0,0,0,0,0,0,4,3.9000
0,0,0,0,0,0,5,5.2963
0,0,0,0,0,0,6,5.7778
0,0,0,0,0,0,7,6.7407
0,0,0,0,0,0,8,7.7037
