Redis-1,MMS-1,Checksum,YCSB-A,YCSB-B,Scene-Detect,ISR,Total-Throughput,,
1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1.8984
3,0,0,0,0,0,0,0,0,2.625
4,0,0,0,0,0,0,0,0,3.0781
5,0,0,0,0,0,0,0,0,3.6016
6,0,0,0,0,0,0,0,0,4.2422
7,0,0,0,0,0,0,0,0,4.789
8,0,0,0,0,0,0,0,0,5.1953
1,1,0,0,0,0,0,0,0,3.3417
1,2,0,0,0,0,0,0,0,5.7511
1,3,0,0,0,0,0,0,0,7.1917
1,4,0,0,0,0,0,0,0,8.7789
1,5,0,0,0,0,0,0,0,10.2417
1,6,0,0,0,0,0,0,0,11.458
1,7,0,0,0,0,0,0,0,12.6215
1,0,1,0,0,0,0,0,0,1.6593
1,0,2,0,0,0,0,0,0,2.2135
1,0,3,0,0,0,0,0,0,2.7189
1,0,4,0,0,0,0,0,0,3.1387
1,0,5,0,0,0,0,0,0,3.6338
1,0,6,0,0,0,0,0,0,3.9865
1,0,7,0,0,0,0,0,0,4.3101
1,0,0,1,0,0,0,0,0,1.841
1,0,0,2,0,0,0,0,0,2.4883
1,0,0,3,0,0,0,0,0,3.1017
1,0,0,4,0,0,0,0,0,3.6545
1,0,0,5,0,0,0,0,0,4.0835
1,0,0,6,0,0,0,0,0,4.4364
1,0,0,7,0,0,0,0,0,4.5131
1,0,0,0,1,0,0,0,0,1.8377
1,0,0,0,2,0,0,0,0,2.5119
1,0,0,0,3,0,0,0,0,3.1294
1,0,0,0,4,0,0,0,0,3.611
1,0,0,0,5,0,0,0,0,4.0553
1,0,0,0,6,0,0,0,0,4.411
1,0,0,0,7,0,0,0,0,4.5835
1,0,0,0,0,1,0,0,0,1.9198
1,0,0,0,0,2,0,0,0,2.6838
1,0,0,0,0,3,0,0,0,3.4941
1,0,0,0,0,4,0,0,0,4.1093
1,0,0,0,0,5,0,0,0,4.6743
1,0,0,0,0,6,0,0,0,5.1483
1,0,0,0,0,7,0,0,0,5.5473
1,0,0,0,0,0,1,0,0,2.3678
1,0,0,0,0,0,2,0,0,3.7212
1,0,0,0,0,0,3,0,0,5.0661
1,0,0,0,0,0,4,0,0,6.8792
1,0,0,0,0,0,5,0,0,7.5919
1,0,0,0,0,0,6,0,0,8.8471
1,0,0,0,0,0,7,0,0,10.0865
1,1,0,0,0,0,0,0,0,3.3417
2,1,0,0,0,0,0,0,0,3.9664
3,1,0,0,0,0,0,0,0,4.4203
4,1,0,0,0,0,0,0,0,4.7293
5,1,0,0,0,0,0,0,0,5.3055
6,1,0,0,0,0,0,0,0,5.7591
7,1,0,0,0,0,0,0,0,5.9748
0,1,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,1.9467
0,3,0,0,0,0,0,0,0,2.9
0,4,0,0,0,0,0,0,0,3.9067
0,5,0,0,0,0,0,0,0,5.0333
0,6,0,0,0,0,0,0,0,5.864
0,7,0,0,0,0,0,0,0,6.7933
0,8,0,0,0,0,0,0,0,7.76
0,1,1,0,0,0,0,0,0,1.9878
0,1,2,0,0,0,0,0,0,2.9294
0,1,3,0,0,0,0,0,0,3.7889
