"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm","Total,Throughput"
1,0,0,0,0,0,0,0,0,1.1700
1,1,0,0,0,0,0,0,0,2.2500
1,2,0,0,0,0,0,0,0,3.6200
1,3,0,0,0,0,0,0,0,4.8100
1,4,0,0,0,0,0,0,0,5.3900
1,5,0,0,0,0,0,0,0,5.8600
1,6,0,0,0,0,0,0,0,6.7200
1,7,0,0,0,0,0,0,0,7.5200
1,0,1,0,0,0,0,0,0,2.4700
1,0,2,0,0,0,0,0,0,3.8700
1,0,3,0,0,0,0,0,0,5.0800
1,0,4,0,0,0,0,0,0,6.0900
1,0,5,0,0,0,0,0,0,7.3100
1,0,6,0,0,0,0,0,0,8.2800
1,0,7,0,0,0,0,0,0,10.0800
1,0,0,1,0,0,0,0,0,3.2400
1,0,0,2,0,0,0,0,0,5.2700
1,0,0,3,0,0,0,0,0,7.3200
1,0,0,4,0,0,0,0,0,8.7600
1,0,0,5,0,0,0,0,0,9.8600
1,0,0,6,0,0,0,0,0,11.4000
1,0,0,7,0,0,0,0,0,12.1700
1,0,0,0,1,0,0,0,0,2.3200
1,0,0,0,2,0,0,0,0,3.4500
1,0,0,0,3,0,0,0,0,4.2900
1,0,0,0,4,0,0,0,0,5.0700
1,0,0,0,5,0,0,0,0,5.5400
1,0,0,0,6,0,0,0,0,6.3000
1,0,0,0,7,0,0,0,0,6.6600
1,0,0,0,0,1,0,0,0,2.4500
1,0,0,0,0,2,0,0,0,3.0800
1,0,0,0,0,3,0,0,0,3.0300
1,0,0,0,0,4,0,0,0,3.1600
1,0,0,0,0,5,0,0,0,2.8000
1,0,0,0,0,6,0,0,0,3.2200
1,0,0,0,0,7,0,0,0,1.3600
1,0,0,0,0,0,1,0,0,3.2400
1,0,0,0,0,0,2,0,0,3.9800
1,0,0,0,0,0,3,0,0,4.3900
1,0,0,0,0,0,4,0,0,4.5900
1,0,0,0,0,0,5,0,0,4.7500
1,0,0,0,0,0,6,0,0,4.6900
1,0,0,0,0,0,7,0,0,4.2400
1,0,0,0,0,0,0,1,0,10.8680
1,0,0,0,0,0,0,2,0,20.3070
1,0,0,0,0,0,0,3,0,30.6750
1,0,0,0,0,0,0,4,0,39.3750
1,0,0,0,0,0,0,5,0,48.9260
1,0,0,0,0,0,0,6,0,59.2230
1,0,0,0,0,0,0,7,0,68.2820
1,0,0,0,0,0,0,0,1,6.9550
1,0,0,0,0,0,0,0,2,12.0370
1,0,0,0,0,0,0,0,3,20.1950
1,0,0,0,0,0,0,0,4,25.8610
1,0,0,0,0,0,0,0,5,28.7690
1,0,0,0,0,0,0,0,6,36.0340
1,0,0,0,0,0,0,0,7,40.9840
0,1,0,0,0,0,0,0,0,1.1600
1,1,0,0,0,0,0,0,0,2.2500
2,1,0,0,0,0,0,0,0,3.7100
3,1,0,0,0,0,0,0,0,4.7200
4,1,0,0,0,0,0,0,0,5.5000
5,1,0,0,0,0,0,0,0,5.9600
6,1,0,0,0,0,0,0,0,6.4000
7,1,0,0,0,0,0,0,0,7.4800
0,1,1,0,0,0,0,0,0,4.8600
0,1,2,0,0,0,0,0,0,8.6000
