"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm"
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9402,0.9914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0427,1.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0171,1.0402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7863,0.9634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7521,0.8586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7863,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8120,0.8091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0085,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0513,0.0000,1.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0513,0.0000,0.9948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9573,0.0000,0.9632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9744,0.0000,0.9566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8889,0.0000,0.9354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9915,0.0000,0.9878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0598,0.0000,0.0000,0.6242,0.0000,0.0000,0.0000,0.0000,0.0000
1.0598,0.0000,0.0000,0.7852,0.0000,0.0000,0.0000,0.0000,0.0000
1.0256,0.0000,0.0000,0.7360,0.0000,0.0000,0.0000,0.0000,0.0000
1.0256,0.0000,0.0000,0.1795,0.0000,0.0000,0.0000,0.0000,0.0000
0.9829,0.0000,0.0000,0.5154,0.0000,0.0000,0.0000,0.0000,0.0000
0.9658,0.0000,0.0000,0.4318,0.0000,0.0000,0.0000,0.0000,0.0000
0.9060,0.0000,0.0000,0.7440,0.0000,0.0000,0.0000,0.0000,0.0000
1.0085,0.0000,0.0000,0.0000,1.0278,0.0000,0.0000,0.0000,0.0000
0.9915,0.0000,0.0000,0.0000,1.0139,0.0000,0.0000,0.0000,0.0000
0.9487,0.0000,0.0000,0.0000,1.0556,0.0000,0.0000,0.0000,0.0000
0.7863,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.6496,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.5128,0.0000,0.0000,0.0000,0.9815,0.0000,0.0000,0.0000,0.0000
