"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm","Total-Throughput"
1,0,0,0,0,0,0,0,0,1.0000
2,0,0,0,0,0,0,0,0,2.0000
3,0,0,0,0,0,0,0,0,3.0513
4,0,0,0,0,0,0,0,0,3.8547
5,0,0,0,0,0,0,0,0,4.3846
6,0,0,0,0,0,0,0,0,5.0086
7,0,0,0,0,0,0,0,0,5.5898
8,0,0,0,0,0,0,0,0,6.1624
1,1,0,0,0,0,0,0,0,1.9316
1,2,0,0,0,0,0,0,0,3.1117
1,3,0,0,0,0,0,0,0,4.1378
1,4,0,0,0,0,0,0,0,4.6398
1,5,0,0,0,0,0,0,0,5.0452
1,6,0,0,0,0,0,0,0,5.7863
1,7,0,0,0,0,0,0,0,6.4758
1,0,1,0,0,0,0,0,0,2.0085
1,0,2,0,0,0,0,0,0,3.0978
1,0,3,0,0,0,0,0,0,4.0358
1,0,4,0,0,0,0,0,0,4.8100
1,0,5,0,0,0,0,0,0,5.7573
1,0,6,0,0,0,0,0,0,6.5013
1,0,7,0,0,0,0,0,0,7.9062
1,0,0,1,0,0,0,0,0,1.6840
1,0,0,2,0,0,0,0,0,2.6303
1,0,0,3,0,0,0,0,0,3.2337
1,0,0,4,0,0,0,0,0,1.7438
1,0,0,5,0,0,0,0,0,3.5601
1,0,0,6,0,0,0,0,0,3.5564
1,0,0,7,0,0,0,0,0,6.1140
1,0,0,0,1,0,0,0,0,2.0363
1,0,0,0,2,0,0,0,0,3.0192
1,0,0,0,3,0,0,0,0,4.1154
1,0,0,0,4,0,0,0,0,4.7863
1,0,0,0,5,0,0,0,0,5.6496
1,0,0,0,6,0,0,0,0,6.4017
1,0,0,0,7,0,0,0,0,8.0299
1,0,0,0,0,1,0,0,0,2.0017
1,0,0,0,0,2,0,0,0,2.5555
1,0,0,0,0,3,0,0,0,3.2122
1,0,0,0,0,4,0,0,0,3.7220
1,0,0,0,0,5,0,0,0,4.0384
1,0,0,0,0,6,0,0,0,4.3490
1,0,0,0,0,7,0,0,0,5.1320
1,0,0,0,0,0,1,0,0,1.9899
