"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm"
1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,1.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1900,1.2067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,1.1175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8800,0.9960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,0.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.9386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,1.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2300,0.0000,1.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2300,0.0000,1.2833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1200,0.0000,1.2425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,1.2340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0400,0.0000,1.2067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,1.2743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,2.0600,0.0000,0.0000,0.0000,0.0000,0.0000
1.1500,0.0000,0.0000,2.0600,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,0.0000,0.0000,2.0733,0.0000,0.0000,0.0000,0.0000,0.0000
0.9800,0.0000,0.0000,1.9450,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,1.7820,0.0000,0.0000,0.0000,0.0000,0.0000
1.0200,0.0000,0.0000,1.7300,0.0000,0.0000,0.0000,0.0000,0.0000
0.9300,0.0000,0.0000,1.6057,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
1.2300,0.0000,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,1.0967,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,1.0275,0.0000,0.0000,0.0000,0.0000
0.9100,0.0000,0.0000,0.0000,0.9260,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,0.0000,0.8917,0.0000,0.0000,0.0000,0.0000
0.9700,0.0000,0.0000,0.0000,0.8129,0.0000,0.0000,0.0000,0.0000
1.2300,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.9500,0.0000,0.0000,0.0000
1.1300,0.0000,0.0000,0.0000,0.0000,0.6333,0.0000,0.0000,0.0000
1.2100,0.0000,0.0000,0.0000,0.0000,0.4875,0.0000,0.0000,0.0000
0.8900,0.0000,0.0000,0.0000,0.0000,0.3820,0.0000,0.0000,0.0000
1.2100,0.0000,0.0000,0.0000,0.0000,0.3350,0.0000,0.0000,0.0000
1.1900,0.0000,0.0000,0.0000,0.0000,0.0243,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,2.0600,0.0000,0.0000
0.8200,0.0000,0.0000,0.0000,0.0000,0.0000,1.5800,0.0000,0.0000
0.8100,0.0000,0.0000,0.0000,0.0000,0.0000,1.1933,0.0000,0.0000
0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9475,0.0000,0.0000
0.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.7720,0.0000,0.0000
0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.6550,0.0000,0.0000
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.4571,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6880,0.0000
1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5435,0.0000
1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8083,0.0000
1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5687,0.0000
1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5632,0.0000
1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6855,0.0000
1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5974,0.0000
1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7250
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4185
1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3250
1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2002
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5458
1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8257
1.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7106
0.0000,1.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,1.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2350,1.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1767,1.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1450,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0080,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9233,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9357,0.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1800,3.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,3.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1400,3.6467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9800,3.3375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0100,3.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9200,2.9250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9400,3.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
